Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Industry,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Low,High,Fair Value,Verdict,Delta,Potential Profit
KMI,13.41,-6.44,-0.34,0.95,14.16,-68.76%,-18.59%,Oil - Production & Pipeline,Oils-Energy,30374494000.00,30.37,1,9.42,3/19/2020,22.58,29.75391499,40.61116032,13.452,Undervalued,0.04,0.31
DLTR,70.24,-11.58,-6.81,4.93,14.29,-15.24%,174.47%,Retail - Discount,Retail-Wholesale,16633604000.00,16.63,0,60.2,3/18/2020,119.71,14.29384966,41.32486843,70.4497,Undervalued,0.21,0.30
WMT,119.48,6.57,9.9,4.94,24.02,48.15%,7.89%,Retail - Supermarket,Retail-Wholesale,338400480000.00,338.40,2.16,97.24,4/4/2019,128.08,18.61399397,6.714553404,118.6588,Overvalued,-0.82,-0.69
KO,43.83,-12.23,1.02,2.11,20.83,7.22%,-18.98%,Beverages - Soft,Consumer Staples,188042800000.00,188.04,1.64,36.27,3/23/2020,60.13,17.24845996,27.10793281,43.9513,Undervalued,0.12,0.28
IFF,98.9,-23.41,-11.32,5.86,16.92,-16.87%,66.42%,Consumer Prdts - Misc Staple,Consumer Staples,10562718000.00,10.56,3,92.14,3/23/2020,152.95,6.835187058,35.33834586,99.1512,Undervalued,0.25,0.25
NWSA,8.18,-3.65,-0.35,0.33,24.85,-48.62%,17.49%,Movie & TV Production & Dist,Consumer Discretionary,4812008000.00,4.81,0.2,7.9,4/2/2020,15.07,3.422982885,45.71997346,8.2005,Undervalued,0.02,0.25
AOS,35.87,-2.83,-0.98,2.23,16.12,10.40%,27.02%,Machinery - Electrical,Industrial Products,5809864000.00,5.81,0.96,33.81,3/23/2020,56.66,5.742960691,36.69255206,35.9476,Undervalued,0.08,0.22
PSX,51.62,-21.24,-0.7,8.07,6.41,-34.11%,-33.45%,Oil - Refining and Marketing,Oils-Energy,22684202000.00,22.68,3.6,40.04,3/18/2020,119.92,22.43316544,56.95463642,51.7287,Undervalued,0.11,0.21
ICE,80.99,-13.95,-0.26,3.87,20.97,74.62%,68.24%,Securities Exchanges,Finance,44474684000.00,44.47,1.2,63.51,3/23/2020,101.93,21.58291147,20.54351025,81.1539,Undervalued,0.16,0.20
CSX,56.77,-12.14,0.48,4.17,13.64,68.21%,-5.78%,Transportation - Rail,Transportation,43930100000.00,43.93,1.04,46.81,3/23/2020,80.73,17.54447772,29.67917751,56.8788,Undervalued,0.11,0.19
MS,33.85,-10.55,-0.16,4.97,6.82,-6.59%,20.84%,Finance - Investment Brokers,Finance,54135492000.00,54.14,1.4,27.2,3/18/2020,57.57,19.64549483,41.20201494,33.8954,Undervalued,0.05,0.13
XLNX,79.08,-2.72,3.86,3.53,22.42,80.42%,28.39%,Semi Pro Logic Devices,Computers and Technology,19678030000.00,19.68,1.48,67.68,3/12/2020,141.6,14.41578149,44.15254237,79.1426,Undervalued,0.06,0.08
SEE,24.35,-6.55,-0.37,2.81,8.67,-47.41%,-38.18%,Containers - Paper Products,Industrial Products,3766239000.00,3.77,0.64,17.06,3/19/2020,47.13,29.93839836,48.33439423,24.3627,Undervalued,0.01,0.05
LEN,33.39,-30.85,-6.87,6.29,5.31,-33.88%,186.12%,Building - Residential & Comm,Construction,10546498000.00,10.55,0.5,25.42,3/18/2020,71.38,23.86942198,53.22219109,33.3999,Undervalued,0.01,0.03
OKE,21.64,-46.61,0.7,3.07,7.05,-55.15%,-16.65%,Utility - Gas Distribution,Utilities,8944223000.00,8.94,3.74,12.16,3/18/2020,78.48,43.8077634,72.42609582,21.6435,Undervalued,0.00,0.02
KMX,48.6,-37.56,-10.33,5.16,9.42,-33.60%,44.53%,Retail - Wholesale Auto Parts,Retail-Wholesale,7940511000.00,7.94,0,37.59,3/18/2020,103.18,22.65432099,52.89784842,48.6072,Undervalued,0.01,0.01
ZBRA,178.08,-31.23,-6.49,12.07,14.44,86.55%,168.47%,Machinery - Thermal Processing,Industrial Products,9617743000.00,9.62,0,150.06,3/16/2020,260.4,15.73450135,31.61290323,174.2908,Overvalued,-3.79,-2.17
ALK,24.69,-22.68,-5.18,6.43,3.84,-61.39%,63.58%,Transportation - Airline,Transportation,3026624000.00,3.03,0,20.02,3/18/2020,72.22,18.9145403,65.81279424,24.6912,Undervalued,0.00,0.00
ZTS,114.61,-22.63,2.84,3.64,31.88,142.97%,30.83%,Medical - Drugs,Medical,54432184000.00,54.43,0.8,90.14,3/23/2020,146.26,21.35066748,21.63954601,116.0432,Undervalued,1.43,1.24
Downloaded from Barchart.com as of 04-04-2020 08:16pm CDT,,,,,,,,,,,0.00,,,,,#DIV/0!,#DIV/0!,0,Overvalued,0.00,#DIV/0!
